election_title_de_CH,election_title_fr_CH,election_title_rm_CH,election_title_it_CH,election_date,election_domain,election_type,election_mandates,election_absolute_majority,election_status,entity_district,entity_name,entity_id,entity_counted,entity_eligible_voters,entity_received_ballots,entity_blank_ballots,entity_invalid_ballots,entity_unaccounted_ballots,entity_accounted_ballots,entity_blank_votes,entity_invalid_votes,entity_accounted_votes,candidate_family_name,candidate_first_name,candidate_id,candidate_elected,candidate_party,candidate_votes
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Baar,1701,True,14202,6302,20,9,29,6273,13356,3,30552,Gysel,Barbara (neu),5,False,SP,2684
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Baar,1701,True,14202,6302,20,9,29,6273,13356,3,30552,Hostettler,Andreas (neu),6,True,FDP,3128
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Baar,1701,True,14202,6302,20,9,29,6273,13356,3,30552,Hürlimann,Andreas (neu),7,False,ALG,2279
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Baar,1701,True,14202,6302,20,9,29,6273,13356,3,30552,Pfister,Martin (bisher),1,True,CVP,4218
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Baar,1701,True,14202,6302,20,9,29,6273,13356,3,30552,Schleiss,Stephan (bisher),2,True,SVP,3391
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Baar,1701,True,14202,6302,20,9,29,6273,13356,3,30552,Stadlin,Daniel (neu),8,False,glp,1790
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Baar,1701,True,14202,6302,20,9,29,6273,13356,3,30552,Tännler,Heinz (bisher),3,True,SVP,3554
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Baar,1701,True,14202,6302,20,9,29,6273,13356,3,30552,Thalmann-Gut,Silvia (neu),9,True,CVP,3109
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Baar,1701,True,14202,6302,20,9,29,6273,13356,3,30552,Villiger,Beat (bisher),4,True,CVP,3646
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Baar,1701,True,14202,6302,20,9,29,6273,13356,3,30552,Weber,Florian (neu),10,True,FDP,2753
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Cham,1702,True,10192,3769,16,8,24,3745,7711,6,18498,Gysel,Barbara (neu),5,False,SP,1624
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Cham,1702,True,10192,3769,16,8,24,3745,7711,6,18498,Hostettler,Andreas (neu),6,True,FDP,1716
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Cham,1702,True,10192,3769,16,8,24,3745,7711,6,18498,Hürlimann,Andreas (neu),7,False,ALG,1487
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Cham,1702,True,10192,3769,16,8,24,3745,7711,6,18498,Pfister,Martin (bisher),1,True,CVP,2474
Regierungsratswahl 2018,,,,2018-10-07,canton,majorz,7,11407,final,,Cham,1702,True,10192,3769,16,8,24,3745,7711,6,18498,Schleiss,Stephan (bisher),2,True,SVP,2092
